candidate,state,offices_json,source_note
Mel Carnahan,MO,"[[""Governor of Missouri"", 1993, 2000], [""Lieutenant Governor of Missouri"", 1989, 1993], [""Missouri State Treasurer"", 1981, 1985]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Michael Avery Ross,AR,"[[""Arkansas Senate"", 1991, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Richard Keller,FL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Robert R. Simmons,CT,"[[""Connecticut House of Representatives"", 1991, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
"Robert Lee Holden, Jr.",MO,"[[""Missouri State Treasurer"", 1993, 2001], [""Missouri House of Representatives"", 1983, 1989]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Ruth Minner,DE,"[[""Lieutenant Governor of Delaware"", 1993, 2001], [""Delaware Senate"", 1983, 1993], [""Delaware House of Representatives"", 1975, 1983]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Todd Akin,MO,"[[""Missouri House of Representatives"", 1989, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Shelley Moore Capito,WV,"[[""West Virginia House of Delegates"", 1997, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Jon C. Porter,NV,"[[""Nevada Senate"", 1994, 2001], [""Mayor of Boulder City"", 1991, 1993]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Kenneth R. Lucas,KY,"[[""Boone County Judge-Executive"", 1987, 1998]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Frank Murkowski,AK,"[[""U.S. Senate Alaska"", 1981, 2002]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Heather A. Wilson,NM,"[[""New Mexico Cabinet Secretary"", 1995, 1998]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Jim Talent,MO,"[[""U.S. House Missouri"", 1993, 2001], [""Missouri House of Representatives"", 1985, 1993]]",Stage 3 hardcode (public bio record); leak-free tenure dates
John A. Sullivan,OK,"[[""Oklahoma House of Representatives"", 1994, 2002]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Chris Chocola,IN,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Brad Henry,OK,"[[""Oklahoma Senate"", 1992, 2002]]",Stage 3 hardcode (public bio record); leak-free tenure dates
C. Dirk Kempthorne,ID,"[[""U.S. Senate Idaho"", 1993, 1999], [""Mayor of Boise"", 1986, 1993]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Anne Meagher Northup,KY,"[[""Kentucky House of Representatives"", 1987, 1996]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Robert Ehrlich Jr.,MD,"[[""U.S. House Maryland"", 1995, 2003], [""Maryland House of Delegates"", 1987, 1995]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Mark Sanford,SC,"[[""U.S. House South Carolina"", 1995, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Nancy L. Johnson,CT,"[[""Connecticut Senate"", 1977, 1983]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Ralph Bradley Miller,NC,"[[""North Carolina Senate"", 1993, 2003]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Richard Renzi,AZ,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Stevan Pearce,NM,"[[""New Mexico House of Representatives"", 1997, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Jeb Hensarling,TX,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Jim Douglas,VT,"[[""Vermont Secretary of State"", 1981, 1993], [""Vermont State Treasurer"", 1995, 2003], [""Vermont House of Representatives"", 1973, 1979]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Jeb E. Bradley,NH,"[[""New Hampshire House of Representatives"", 1991, 2003]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Max Burns,GA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Virginia Brown-Waite,FL,"[[""Florida Senate"", 1992, 2002]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Thomas Edwards,TX,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Tom Feeney,FL,"[[""Florida House of Representatives"", 1990, 1994], [""Speaker of the Florida House of Representatives"", 2000, 2002]]",Stage 3 hardcode (public bio record); leak-free tenure dates
William J. Janklow,SD,"[[""Governor of South Dakota"", 1979, 1987], [""Governor of South Dakota"", 1995, 2003], [""South Dakota Attorney General"", 1975, 1979]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Timothy H. Bishop,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Todd Tiahrt,KS,"[[""Kansas Senate"", 1993, 1995]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Chris Bell,TX,"[[""Houston City Council"", 1997, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
James Marshall,GA,"[[""Mayor of Macon"", 1995, 1999]]",Stage 3 hardcode (public bio record); leak-free tenure dates
John Nathan Hostettler,IN,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Calvin M. Dooley,CA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Cathy McMorris Rodgers,WA,"[[""Washington House of Representatives"", 1994, 2004]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Gerald C. Weller,IL,"[[""Illinois House of Representatives"", 1989, 1995]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Melissa Bean,IL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Louie Gohmert,TX,"[[""Texas Court of Appeals"", 2002, 2003], [""District Court Judge Texas"", 1992, 2002]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Matt Blunt,MO,"[[""Missouri Secretary of State"", 2001, 2005], [""Missouri House of Representatives"", 1999, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
John R. Thune,SD,"[[""U.S. House South Dakota"", 1997, 2003]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Katherine Harris,FL,"[[""Florida Secretary of State"", 1999, 2002], [""Florida Senate"", 1994, 1998]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Stephanie Herseth Sandlin,SD,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Vito J. Fossella,NY,"[[""New York City Council"", 1994, 1997]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Thomas H. Allen,ME,"[[""Portland City Council"", 1989, 1995], [""Mayor of Portland Maine"", 1991, 1992]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Christopher Murphy,CT,"[[""Connecticut Senate"", 2003, 2007], [""Connecticut House of Representatives"", 1999, 2003]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Carol Shea-Porter,NH,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Dave Loebsack,IA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Gus Michael Bilirakis,FL,"[[""Florida House of Representatives"", 1998, 2006]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Amy Klobuchar,MN,"[[""Hennepin County Attorney"", 1999, 2007]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Jerry McNerney,CA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Joe Courtney,CT,"[[""Connecticut House of Representatives"", 1987, 1995]]",Stage 3 hardcode (public bio record); leak-free tenure dates
John Yarmuth,KY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Michael A. Arcuri,NY,"[[""Oneida County District Attorney"", 1993, 2007]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Joseph Heath Shuler,NC,[],Stage 3 hardcode (public bio record); leak-free tenure dates
John Hall,NY,"[[""Ulster County Legislature"", 1990, 1993]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Kirsten E. Gillibrand,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
John R. Kuhl,NY,"[[""New York State Senate"", 1987, 2004], [""New York State Assembly"", 1981, 1987]]",Stage 3 hardcode (public bio record); leak-free tenure dates
James T. Walsh,NY,"[[""Syracuse Common Council"", 1978, 1988]]",Stage 3 hardcode (public bio record); leak-free tenure dates
J. Dennis Hastert,IL,"[[""Illinois House of Representatives"", 1981, 1987]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Joe Donnelly,IN,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Deborah D. Pryce,OH,"[[""Franklin County Municipal Court Judge"", 1985, 1992]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Paul W. Hodes,NH,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Bruce L. Braley,IA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Chet Culver,IA,"[[""Iowa Secretary of State"", 1999, 2007]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Brad Ellsworth,IN,"[[""Vanderburgh County Sheriff"", 1999, 2007]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Ron Klein,FL,"[[""Florida Senate"", 1996, 2006], [""Florida House of Representatives"", 1992, 1996]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Tim Mahoney,FL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Steven L. Kagen,WI,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Thomas M. Reynolds,NY,"[[""New York State Assembly"", 1989, 1998], [""Erie County Legislature"", 1983, 1988]]",Stage 3 hardcode (public bio record); leak-free tenure dates
William T. Sali,ID,"[[""Idaho House of Representatives"", 1990, 2006]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Zachary T. Space,OH,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Vern Buchanan,FL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Tim Walberg,MI,"[[""Michigan House of Representatives"", 1983, 1998]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Robert P. Casey Jr.,PA,"[[""Pennsylvania Treasurer"", 2005, 2007], [""Pennsylvania Auditor General"", 1997, 2005]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Peter J. Roskam,IL,"[[""Illinois Senate"", 2000, 2007], [""Illinois House of Representatives"", 1993, 1995]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Nancy E. Boyda,KS,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Nicholas V. Lampson,TX,"[[""U.S. House Texas"", 1997, 2005]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Harry Teague,NM,"[[""Lea County Commission"", 2002, 2008]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Henry E. Brown,SC,"[[""South Carolina House of Representatives"", 1985, 1999]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Jason Chaffetz,UT,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Jim Himes,CT,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Christopher John Lee,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Daniel B. Maffei,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Chellie M. Pingree,ME,"[[""Maine Senate"", 1992, 2000]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Deborah Halvorson,IL,"[[""Illinois Senate"", 1997, 2009]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Mark Schauer,MI,"[[""Michigan Senate"", 2003, 2009], [""Michigan House of Representatives"", 1997, 2003]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Jay Nixon,MO,"[[""Missouri Attorney General"", 1993, 2009], [""Missouri Senate"", 1987, 1993]]",Stage 3 hardcode (public bio record); leak-free tenure dates
John A. Boccieri,OH,"[[""Ohio Senate"", 2007, 2009], [""Ohio House of Representatives"", 2001, 2007]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Kurt Schrader,OR,"[[""Oregon Senate"", 2003, 2009], [""Oregon House of Representatives"", 1997, 2003]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Mary Jo Kilroy,OH,"[[""Franklin County Commission"", 2001, 2009]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Lawrence Webb Kissell,NC,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Martin Heinrich,NM,"[[""Albuquerque City Council"", 2004, 2008]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Pete Olson,TX,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Blaine Luetkemeyer,MO,"[[""Missouri House of Representatives"", 1999, 2005]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Ben Ray Luján,NM,"[[""New Mexico Public Regulation Commission"", 2005, 2009]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Al Franken,MN,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Alan Grayson,FL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Rob Bishop,UT,"[[""Utah House of Representatives"", 1979, 1995]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Rolf Parker Griffith,AL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Steven Austria,OH,"[[""Ohio Senate"", 2001, 2009], [""Ohio House of Representatives"", 1999, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Thomas J. Rooney,FL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Frank M. Kratovil,MD,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Gary C. Peters,MI,"[[""Michigan Senate"", 1995, 2003], [""Michigan Lottery Commissioner"", 2003, 2007]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Doc Hastings,WA,"[[""Washington House of Representatives"", 1979, 1987]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Eric J. Massa,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Suzanne M. Kosmas,FL,"[[""Florida House of Representatives"", 2004, 2008]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Steven L. Driehaus,OH,"[[""Ohio House of Representatives"", 2001, 2009]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Walt Minnick,ID,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Travis W. Childers,MS,"[[""Prentiss County Chancery Clerk"", 1992, 2008]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Jim Renacci,OH,"[[""Mayor of Wadsworth"", 2004, 2008]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Larry D. Bucshon,IN,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Jaime Herrera Beutler,WA,"[[""Washington House of Representatives"", 2007, 2010]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Jeff Denham,CA,"[[""California State Senate"", 2002, 2010]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Renee L. Ellmers,NC,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Raúl R. Labrador,ID,"[[""Idaho House of Representatives"", 2007, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Randy Hultgren,IL,"[[""Illinois Senate"", 2007, 2011], [""Illinois House of Representatives"", 1999, 2007]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Mike Pompeo,KS,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Mick Mulvaney,SC,"[[""South Carolina Senate"", 2009, 2011], [""South Carolina House of Representatives"", 2007, 2009]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Maurice D. Hinchey,NY,"[[""New York State Assembly"", 1975, 1993]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Nan Hayworth,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Justin Amash,MI,"[[""Michigan House of Representatives"", 2009, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
C.L. 'Butch' Otter,ID,"[[""U.S. House Idaho"", 2001, 2007], [""Lieutenant Governor of Idaho"", 1987, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Chuck Fleischmann,TN,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Dan Benishek,MI,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Daniel Webster,FL,"[[""Florida Senate"", 1998, 2008], [""Florida House of Representatives"", 1980, 1998]]",Stage 3 hardcode (public bio record); leak-free tenure dates
David B. McKinley,WV,"[[""West Virginia House of Delegates"", 1980, 1994]]",Stage 3 hardcode (public bio record); leak-free tenure dates
David N. Cicilline,RI,"[[""Mayor of Providence"", 2003, 2011], [""Rhode Island House of Representatives"", 1995, 1999]]",Stage 3 hardcode (public bio record); leak-free tenure dates
David Rivera,FL,"[[""Florida House of Representatives"", 2002, 2010]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Francisco R. Canseco,TX,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Joe Walsh,IL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Michael G. Grimm,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Robert Dold,IL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Rob Woodall,GA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Scott Brown,MA,"[[""Massachusetts Senate"", 2004, 2010], [""Massachusetts House of Representatives"", 1998, 2004]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Steve Chabot,OH,"[[""U.S. House Ohio"", 1995, 2009], [""Cincinnati City Council"", 1985, 1990]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Steve Womack,AR,"[[""Mayor of Rogers Arkansas"", 1999, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Steve Stivers,OH,"[[""Ohio Senate"", 2003, 2009]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Scott DesJarlais,TN,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Robert Schilling,IL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Rosa L. DeLauro,CT,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Sandra Adams,FL,"[[""Florida House of Representatives"", 2002, 2010]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Colleen W. Hanabusa,HI,"[[""Hawaii Senate"", 1998, 2010]]",Stage 3 hardcode (public bio record); leak-free tenure dates
E. Scott Rigell,VA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Frank C. Guinta,NH,"[[""Mayor of Manchester"", 2006, 2010], [""New Hampshire House of Representatives"", 2001, 2003]]",Stage 3 hardcode (public bio record); leak-free tenure dates
H. Morgan Griffith,VA,"[[""Virginia House of Delegates"", 1994, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Christopher P. Gibson,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Charles E. Schumer,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Blake Farenthold,TX,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Billy Long,MO,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Ann Marie Buerkle,NY,"[[""Syracuse Common Council"", 1994, 1998]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Austin Scott,GA,"[[""Georgia House of Representatives"", 1997, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Bill Keating,MA,"[[""Norfolk County District Attorney"", 1999, 2011], [""Massachusetts Senate"", 1985, 1999]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Bill Johnson,OH,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Carolyn McCarthy,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Bob Gibbs,OH,"[[""Ohio Senate"", 2009, 2011], [""Ohio House of Representatives"", 2003, 2009]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Barney Frank,MA,"[[""Massachusetts House of Representatives"", 1973, 1981]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Bill Flores,TX,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Allen West,FL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Alan Nunnelee,MS,"[[""Mississippi Senate"", 1995, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Andy Harris,MD,"[[""Maryland Senate"", 1999, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Adam Kinzinger,IL,"[[""McLean County Board"", 1998, 2003]]",Stage 3 hardcode (public bio record); leak-free tenure dates
William Edward Haslam,TN,"[[""Mayor of Knoxville"", 2003, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Vicky Hartzler,MO,"[[""Missouri House of Representatives"", 1995, 2001]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Tim Huelskamp,KS,"[[""Kansas Senate"", 1997, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Tim Griffin,AR,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Steve Southerland II,FL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Thomas Reed,NY,"[[""Mayor of Corning New York"", 2008, 2009]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Steven Palazzo,MS,"[[""Mississippi House of Representatives"", 2007, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Stephen Lee Fincher,TN,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Todd Young,IN,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Richard L. Hanna,NY,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Rick Crawford,AR,[],Stage 3 hardcode (public bio record); leak-free tenure dates
William L. Enyart,IL,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Tim Scott,SC,"[[""U.S. House South Carolina"", 2011, 2013], [""South Carolina House of Representatives"", 2009, 2011], [""Charleston County Council"", 1995, 2009]]",Stage 3 hardcode (public bio record); leak-free tenure dates
K. Mark Takai,HI,"[[""Hawaii House of Representatives"", 1994, 2014]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Carlos Curbelo,FL,"[[""Miami-Dade County School Board"", 2010, 2015]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Kamala Harris,CA,"[[""Attorney General of California"", 2011, 2017], [""San Francisco District Attorney"", 2004, 2011]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Michael Guest,MS,"[[""District Attorney Mississippi"", 2008, 2019]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Kim Schrier,WA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Joe Cunningham,SC,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Russ Fulcher,ID,"[[""Idaho Senate"", 2005, 2014]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Edward Lamont,CT,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Carol Miller,WV,"[[""West Virginia House of Delegates"", 2007, 2019]]",Stage 3 hardcode (public bio record); leak-free tenure dates
Denver Riggleman,VA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Elaine G. Luria,VA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Mark Kelly,AZ,[],Stage 3 hardcode (public bio record); leak-free tenure dates
Brian Fitzpatrick,PA,[],Stage 3 hardcode (public bio record); leak-free tenure dates
David Madison Cawthorn,NC,[],Stage 3 hardcode (public bio record); leak-free tenure dates
